20, -10.7
21, -10.8
22, -10.9
23, -10.9
24, -10.9
26, -10.8
27, -10.8
29, -10.8
30, -10.9
32, -10.9
34, -10.8
36, -10.8
38, -10.7
40, -10.5
43, -10.4
45, -10.4
48, -10.3
50, -10.2
53, -10.2
56, -10.0
59, -9.9
63, -9.7
66, -9.4
70, -9.2
74, -8.9
78, -8.7
83, -8.4
87, -8.2
92, -7.9
97, -7.7
103, -7.4
109, -7.1
115, -6.9
121, -6.6
128, -6.3
136, -6.0
143, -5.6
151, -5.3
160, -4.9
169, -4.4
178, -4.1
188, -3.7
199, -3.3
210, -2.9
222, -2.6
235, -2.3
248, -2.0
262, -1.7
277, -1.4
292, -1.2
309, -0.9
326, -0.7
345, -0.6
364, -0.4
385, -0.3
406, -0.2
429, -0.1
453, -0.0
479, -0.0
506, 0.0
534, -0.0
565, -0.1
596, -0.1
630, -0.2
665, -0.3
703, -0.4
743, -0.5
784, -0.7
829, -0.8
875, -0.9
924, -1.1
977, -1.3
1032, -1.4
1090, -1.6
1151, -1.8
1216, -2.0
1284, -2.3
1357, -2.6
1433, -2.9
1514, -3.3
1599, -3.6
1689, -4.0
1784, -4.2
1885, -4.2
1991, -4.1
2103, -4.0
2221, -3.9
2347, -3.8
2479, -3.7
2618, -3.7
2766, -3.8
2921, -3.9
3086, -4.1
3260, -4.3
3443, -4.6
3637, -5.0
3842, -5.5
4058, -6.0
4287, -6.3
4528, -6.2
4783, -5.6
5052, -4.7
5337, -3.6
5637, -2.7
5955, -2.2
6290, -2.4
6644, -3.1
7018, -4.0
7414, -5.0
7831, -5.9
8272, -6.8
8738, -7.7
9230, -8.6
9749, -9.6
10298, -10.7
10878, -11.5
11490, -11.8
12137, -11.7
12821, -11.4
13543, -11.1
14305, -10.9
15110, -10.5
15961, -9.9
16860, -9.2
17809, -8.2
18812, -7.0
19871, -6.1
