price,area,bedrooms,bathrooms,washingmachine,dtcenter,dtrec,dthospital,hotwater,ac,furnish,parking,security
4863158,35,2,1,1,0.273197852,1.486737981,4.061311797,1,1,2,2,1
5138811,37,2,1,1,0.298993882,1.48613201,4.054995674,1,1,2,2,1
4866038,36,2,1,1,0.299881678,1.401617033,3.803445182,1,1,2,2,1
2284211,19,2,2,1,0.306668513,1.088141347,2.727353951,1,1,1,1,2
2339229,20,2,2,1,0.308456736,0.994131481,2.482349325,1,1,1,1,2
2413756,21,1,1,0,0.31441178,5.475705619,9.109525396,1,1,0,1,2
2400109,21,2,2,1,0.339617575,0.950059215,2.377688485,1,1,1,1,2
4807177,43,1,2,1,0.378980408,5.100201876,8.247012806,1,1,1,1,2
4605263,43,1,2,1,0.415357807,4.893138686,8.075822241,1,1,1,1,2
3527321,33,2,1,1,0.430241522,0.817076936,2.003769379,1,1,1,2,1
4845662,46,1,2,1,0.438559042,4.732262377,7.801777769,1,1,2,1,2
2210526,21,1,1,0,0.441075219,4.434908898,7.781177993,1,1,0,1,2
4705601,45,1,2,1,0.444221184,4.120361469,7.7039467,1,1,1,1,2
2892105,28,2,2,0,0.448150606,0.761558763,1.82943914,1,1,2,1,1
2064512,20,1,2,0,0.468960753,3.489301315,7.553112375,1,1,1,1,1
2057186,20,1,2,0,0.470293903,3.362245969,7.376574264,1,1,1,1,1
4725244,46,1,1,1,0.491694993,3.315352287,7.316846213,1,1,2,1,2
4710093,46,1,1,1,0.493029719,3.312321012,7.22190033,1,1,2,1,2
2247368,22,1,2,1,0.496796286,3.303585375,7.193194926,1,1,0,1,2
2341405,23,1,2,1,0.532843745,3.250008765,7.065800869,1,1,0,1,2
4678947,46,1,2,1,0.533144371,3.238035053,6.954161321,1,1,2,1,2
1828812,18,1,1,1,0.542986279,3.230099332,6.924374116,1,1,0,1,2
2230946,22,1,1,0,0.548607397,3.183989853,6.877306816,1,1,0,1,2
2026316,20,1,2,0,0.555593629,3.170254915,6.806873807,1,1,1,1,1
3028471,30,2,2,0,0.564260225,0.731488381,1.74567925,1,1,2,1,1
3325661,33,2,1,1,0.579123728,0.728862772,1.73899839,1,1,1,2,1
3214474,32,2,1,1,0.579783216,0.721020194,1.708411114,1,1,1,2,1
4899365,49,1,2,1,0.582676441,3.148254325,6.803570588,1,1,2,1,2
2896115,29,2,2,0,0.602326112,0.711597527,1.675774311,1,1,2,1,1
2288050,23,1,2,1,0.603313853,3.000846858,6.75746824,1,1,0,1,2
1684893,17,1,1,1,0.607601689,2.920233008,6.756300528,1,1,0,1,2
4550000,46,1,1,1,0.607791418,2.874970789,6.755030235,1,1,2,1,2
2063158,21,2,1,1,0.614181756,0.687128385,1.618882729,1,1,0,1,1
4812502,49,2,1,1,0.614227537,0.683647182,1.610441382,1,1,2,2,1
2252212,23,2,1,1,0.614770928,0.680996741,1.60609239,1,1,0,1,1
2734483,28,1,1,0,0.620445812,2.865374364,6.703406412,1,1,1,1,1
2147317,22,2,1,1,0.625401458,0.678276439,1.589405422,1,1,0,1,1
1657895,17,1,1,1,0.628109438,2.855526486,6.700368924,1,1,0,1,2
2803294,29,1,1,0,0.643366086,2.823616279,6.688623196,1,1,1,1,1
2222092,23,1,2,1,0.643594813,2.808117625,6.60020936,1,1,1,1,2
2210526,23,1,2,1,0.644153432,2.762650519,6.588670089,1,1,1,1,2
7251803,76,2,2,1,0.645265056,0.643112412,1.523028919,1,1,2,2,2
7000000,74,2,2,1,0.658408761,0.628423336,1.486543426,1,1,2,2,2
2608421,28,1,1,0,0.659134397,2.710926614,6.588520413,1,1,1,1,1
2782604,30,1,1,0,0.667032918,2.703681319,6.580022989,1,1,0,1,1
2498708,27,1,2,1,0.686058981,2.692394096,6.571567608,1,1,2,1,2
1847994,20,1,1,1,0.686353915,2.686610447,6.566484146,1,1,0,1,2
2124977,23,1,1,1,0.689008194,2.648662583,6.547937355,1,1,1,1,1
3784818,41,1,2,1,0.693345589,2.632850954,6.491976665,1,1,1,1,1
2026316,22,1,1,1,0.696726997,2.623827893,6.468677487,1,1,1,1,1
2394737,26,1,2,1,0.696964302,2.576376253,6.466114491,1,1,2,1,2
7335780,80,2,2,1,0.708686601,0.595871443,1.399990097,1,1,2,2,2
3015874,33,1,1,0,0.711859571,2.556664229,6.420936456,1,1,1,1,1
4477256,49,2,1,1,0.713886687,0.593109017,1.392750133,1,1,2,2,1
3923684,43,1,2,1,0.7181282,2.510067002,6.390310289,1,1,0,1,1
3551495,39,1,2,1,0.725935397,2.506662233,6.338653526,1,1,1,1,2
2912017,32,1,1,0,0.736070919,2.464499996,6.33471834,1,1,0,1,1
1897244,21,1,2,1,0.740728906,2.45406652,6.318018686,1,1,0,1,2
4063161,45,1,2,1,0.751734642,2.441606384,6.296048155,1,1,0,1,1
1805263,20,1,1,1,0.753510554,2.431010044,6.281470265,1,1,0,1,2
2976505,33,1,1,1,0.759384508,2.426150278,6.27887175,1,1,2,1,1
3426316,38,1,2,1,0.762308606,2.425339128,6.215613623,1,1,1,1,2
2701619,30,1,1,0,0.767957605,2.420271019,6.197325765,1,1,2,1,1
1887466,21,1,1,1,0.771016318,2.416416399,6.146034614,1,1,0,1,2
2873684,32,1,1,1,0.779395628,2.394722161,6.100757595,1,1,2,1,1
3767568,42,1,1,1,0.780082753,2.393109284,6.075616643,1,1,2,1,1
2689474,30,1,1,0,0.78683205,2.386135069,6.074688935,1,1,2,1,1
2689474,30,1,1,0,0.795389622,2.349939246,6.074686604,1,1,0,1,1
3573684,40,1,1,1,0.801288509,2.328735588,6.03097847,1,1,1,1,1
2856394,32,1,1,0,0.801396807,2.327568976,5.977679772,1,1,2,1,1
2588003,29,1,1,1,0.801856465,2.315366517,5.962201953,1,1,1,1,1
2229510,25,1,2,1,0.810098408,2.300263288,5.943457914,1,1,1,1,2
3477726,39,1,2,1,0.811735518,2.284224932,5.838088896,1,1,1,1,2
4365789,49,2,1,1,0.821610665,0.568218352,1.334094063,1,1,2,2,1
2583074,29,1,2,1,0.82218867,2.268545821,5.816386053,1,1,2,1,2
2045464,23,1,1,1,0.825385559,2.255306188,5.699143058,1,1,1,1,1
5157895,58,1,2,1,0.835298782,2.227439886,5.682183069,1,1,0,1,2
2831418,32,1,1,0,0.837775385,2.218531247,5.672860572,1,1,1,1,2
2910526,33,1,1,1,0.840266148,2.203935275,5.665846407,1,1,1,1,2
6604773,75,2,1,1,0.84080573,0.55553461,1.303757127,1,1,2,2,2
2641004,30,1,2,1,0.844051992,2.188093152,5.664495431,1,1,1,1,2
5359764,61,1,2,1,0.845905047,2.183864431,5.609308194,1,1,0,1,2
1842105,21,1,2,1,0.847512924,2.177447934,5.607449966,1,1,0,1,2
3941791,45,1,2,1,0.849557403,2.170343186,5.586129244,1,1,0,1,1
3500000,40,1,1,1,0.8513581,2.160749346,5.586047223,1,1,2,1,1
3661656,42,1,1,1,0.853965626,2.160563336,5.568310693,1,1,2,1,1
3481579,40,1,2,1,0.858776629,2.141013894,5.568177638,1,1,1,1,1
4786903,55,2,2,1,0.862290635,0.543228854,1.257985277,1,1,1,2,1
2871106,33,1,1,0,0.863695462,2.141005442,5.510328976,1,1,1,1,1
3651519,42,1,2,1,0.863975259,2.138053232,5.461393534,1,1,1,1,1
2954862,34,1,1,1,0.870247417,2.123554434,5.449165095,1,1,1,1,2
1824001,21,1,2,1,0.870818038,2.11473111,5.427912362,1,1,2,0,2
1823684,21,1,1,0,0.871951348,2.112075324,5.409997131,1,1,2,1,2
1980353,23,1,1,0,0.873428571,2.10279001,5.409134167,1,1,2,1,2
3011550,35,1,1,1,0.875356885,2.075140576,5.328958212,1,1,2,1,1
2666918,31,1,1,0,0.87676116,2.055714501,5.322127835,1,1,1,1,2
1805263,21,1,1,1,0.894905447,2.051736378,5.306470693,1,1,2,1,2
2578947,30,1,2,1,0.895037806,2.047502169,5.288663821,1,1,1,1,2
2578947,30,1,1,0,0.904908692,2.031488062,5.216091835,1,1,1,1,2
1975764,23,1,1,1,0.908873931,2.023802856,5.205727812,1,1,2,1,2
1802560,21,1,1,0,0.917558734,2.003757111,5.165317906,1,1,2,1,2
2316489,27,2,2,0,0.925132945,0.525407966,1.219287867,1,1,1,1,2
2744737,32,1,1,0,0.927891161,1.986532134,5.162584311,1,1,1,1,1
5316174,62,2,2,1,0.938150086,0.524749141,1.215829638,1,1,1,2,1
5401900,63,2,2,1,0.945632571,0.524673689,1.215173086,1,1,1,2,1
6428947,75,2,1,1,0.94743915,0.524225445,1.213865047,1,1,2,2,2
3506366,41,1,2,1,0.951261087,1.982221908,5.159228922,1,1,1,1,2
3506094,41,1,1,1,0.956524923,1.980513884,5.147435202,1,1,1,1,2
6755313,79,2,1,1,0.959112797,0.523330775,1.210692345,1,1,2,2,2
3584918,42,1,1,1,0.961060393,1.965462857,5.14669716,1,1,1,1,1
3407895,40,1,1,1,0.962304342,1.963294351,5.144800078,1,1,1,1,2
2210526,26,2,2,0,0.967254652,0.519293651,1.200298823,1,1,1,1,2
5095263,60,2,2,1,0.968485427,0.517343494,1.196613431,1,1,1,2,1
5180145,61,1,2,1,0.971109514,1.956963344,5.128075843,1,1,0,1,2
1947175,23,1,2,1,0.973140339,1.950317155,5.122261255,1,1,0,1,2
3131579,37,2,2,0,0.974016279,0.512858221,1.188256576,1,1,2,2,1
3207133,38,2,2,0,0.97830036,0.512583027,1.18734811,1,1,2,2,1
3455225,41,1,1,1,0.979769848,1.949911719,5.110753372,1,1,1,1,2
3616340,43,2,2,1,0.983790225,0.506889245,1.175053223,1,1,1,2,1
2431579,29,1,1,1,0.988724478,1.922693965,5.103651375,1,1,1,1,1
1753684,21,1,1,0,0.990870108,1.900201669,5.076391796,1,1,2,1,2
1915789,23,1,1,0,0.993241698,1.897859212,5.062249767,1,1,1,1,1
3161908,38,2,2,0,0.993703974,0.501619608,1.158626092,1,1,2,2,1
1830074,22,1,1,0,0.999162917,1.896577759,5.048408057,1,1,2,1,2
1827198,22,1,1,1,1.006664962,1.891977954,5.042463057,1,1,2,1,2
4639638,56,2,2,1,1.012551591,0.498511015,1.142403062,1,1,1,2,1
3396302,41,1,2,1,1.012624259,1.880095162,5.030810445,1,1,1,1,2
1987488,24,1,1,0,1.013134056,1.867836197,5.014757677,1,1,1,1,1
1731579,21,1,2,1,1.016170734,1.865609871,5.008572579,1,1,2,0,2
2462199,30,1,1,1,1.020897766,1.863541215,5.006142321,1,1,1,1,1
2948146,36,1,1,1,1.034175869,1.857607232,4.998278681,1,1,1,1,2
3603062,44,1,1,1,1.053106302,1.849412629,4.984443093,1,1,1,1,1
2210526,27,2,2,0,1.05722912,0.495195652,1.133725581,1,1,1,1,1
4987774,61,2,1,1,1.058819231,0.493199896,1.131630234,1,1,1,2,2
6455024,79,2,2,1,1.066535584,0.492888185,1.129459376,1,1,2,2,1
3500000,43,2,2,1,1.073197866,0.491187025,1.125110544,1,1,1,2,1
1871131,23,1,1,0,1.073933526,1.844107394,4.978434474,1,1,2,1,2
6005263,74,2,2,1,1.074220841,0.485994933,1.110850687,1,1,2,2,1
1945594,24,1,1,0,1.074685377,1.833356665,4.973481431,1,1,1,1,1
2675063,33,1,2,1,1.076392079,1.815421541,4.918919662,1,1,1,1,2
1783340,22,1,2,1,1.078698152,1.807779551,4.876916822,1,1,2,0,2
3315789,41,1,2,1,1.085643801,1.802134575,4.872235442,1,1,1,1,2
2251092,28,2,2,0,1.087905979,0.479723261,1.092969662,1,1,1,1,1
4421053,55,2,2,1,1.089290747,0.479550923,1.090904272,1,1,1,2,1
2169897,27,2,1,1,1.092886023,0.478180414,1.087987931,1,1,2,1,1
2245118,28,1,1,0,1.094962563,1.793062016,4.854163666,1,1,2,1,2
2317368,29,1,2,0,1.098943609,1.786981015,4.853192099,1,1,1,1,2
4789474,60,2,1,1,1.102644155,0.47462669,1.075288049,1,1,1,2,2
2393206,30,1,1,0,1.106737704,1.782926101,4.846799194,1,1,2,1,2
2707895,34,1,1,0,1.107040481,1.780985302,4.837761593,1,1,1,1,1
2229825,28,2,2,0,1.108319742,0.472773059,1.074470908,1,1,1,1,2
2228947,28,1,1,0,1.114705224,1.773428197,4.83568123,1,1,2,1,2
1985789,25,2,1,1,1.115248488,0.472306486,1.07407254,1,1,2,1,1
3176409,40,1,2,0,1.116052278,1.766930467,4.832639175,1,1,1,1,2
6114465,77,2,2,1,1.116716705,0.472267004,1.073376752,1,1,2,2,1
5070636,64,2,1,1,1.124908256,0.46816088,1.066601766,1,1,1,2,2
2678273,34,2,1,1,1.126545145,0.466327772,1.057179695,1,1,1,1,1
2756198,35,1,1,0,1.126860832,1.764213773,4.780109155,1,1,1,1,1
2361961,30,1,2,0,1.126899773,1.752880007,4.772477557,1,1,1,1,2
2910526,37,1,2,0,1.128017265,1.750108946,4.732514326,1,1,1,1,2
3040788,39,1,2,0,1.132743709,1.749167809,4.723280462,1,1,1,1,2
5981252,77,1,2,1,1.140669682,1.740938712,4.722498728,1,1,1,1,2
2019084,26,2,1,1,1.140691611,0.458737625,1.036093172,1,1,2,1,1
2243615,29,2,2,0,1.148528311,0.454524638,1.031437772,1,1,1,1,1
5171246,67,2,1,1,1.15409,0.454024586,1.029215445,1,1,1,2,1
1758337,23,1,1,0,1.155823368,1.74086962,4.722000188,1,1,1,1,1
2741407,36,1,1,0,1.165022886,1.739661138,4.715093835,1,1,1,1,1
5710526,75,1,2,1,1.173382922,1.738060761,4.700250114,1,1,1,1,2
2657886,35,2,2,1,1.175373402,0.440599417,1.001156427,1,1,1,1,1
2652632,35,1,2,1,1.176080345,1.736127442,4.698960769,1,1,1,1,1
2575263,34,2,1,1,1.194708317,0.437517408,0.995424933,1,1,1,1,1
3557199,47,2,2,1,1.194933811,0.43607112,0.991795937,1,1,1,2,1
2414306,32,1,2,0,1.200383009,1.727300565,4.698047702,1,1,2,1,2
4973329,66,1,2,1,1.20136094,1.723746642,4.689256266,1,1,1,1,2
2708861,36,1,2,1,1.201876342,1.710196889,4.656731193,1,1,1,1,1
3004681,40,1,1,1,1.202700893,1.709378116,4.636319226,1,1,0,1,2
3201579,43,3,2,1,1.2028754,0.234310095,0.501202857,1,1,2,1,2
3945632,53,1,1,1,1.207276978,1.692739662,4.588529691,1,1,1,1,1
6025987,81,1,2,1,1.216557702,1.691009801,4.572871579,1,1,1,1,2
3868421,52,1,1,1,1.228633544,1.683769182,4.566738602,1,1,1,1,1
1636076,22,1,1,0,1.237204394,1.660072862,4.566195641,1,1,1,1,1
4900000,66,2,1,1,1.242717009,0.425092783,0.967030435,1,1,1,2,1
4454211,60,1,2,1,1.244763824,1.657219413,4.554177634,1,1,1,1,2
4602610,62,1,2,1,1.251854464,1.650583564,4.548337049,1,1,1,1,2
3255028,44,3,2,1,1.256877115,0.23078273,0.491767243,1,1,2,1,2
2508947,34,2,2,1,1.257363311,0.421345733,0.952875116,1,1,1,1,1
5015965,68,2,1,1,1.261599639,0.421208601,0.951000134,1,1,0,2,1
2581432,35,2,1,1,1.262700732,0.420018207,0.950333583,1,1,1,1,1
1621053,22,1,1,0,1.269342613,1.644144585,4.534961247,1,1,1,1,1
2210526,30,1,2,1,1.270627721,1.639563659,4.511222319,1,1,0,1,1
2574996,35,2,2,1,1.281343723,0.417322097,0.93898619,1,1,1,1,1
